date,state,claims,cases,deaths
2020-04-18,FL,506670,25492.0,748.0
2020-04-25,FL,433103,5347.0,307.0
2020-05-02,FL,174860,4624.0,309.0
2020-05-09,FL,223082,4538.0,351.0
2020-05-16,FL,225404,4810.0,249.0
2020-05-23,FL,175411,5316.0,269.0
2020-05-30,FL,207707,5297.0,214.0
2020-06-06,FL,112161,7334.0,241.0
2020-06-13,FL,88148,10794.0,237.0
2020-06-20,FL,95683,20245.0,219.0
2020-06-27,FL,84370,38748.0,246.0
2020-07-04,FL,66941,57507.0,312.0
2020-07-11,FL,132831,64459.0,495.0
2020-07-18,FL,108976,83058.0,698.0
2020-07-25,FL,91462,76942.0,882.0
2020-08-01,FL,78286,65517.0,1245.0
2020-08-08,FL,61584,46549.0,1087.0
2020-08-15,FL,72774,43060.0,1236.0
2020-08-22,FL,51647,27960.0,929.0
2020-08-29,FL,45590,21406.0,831.0
2020-09-05,FL,40256,24864.0,706.0
2020-09-12,FL,37265,17704.0,789.0
2020-09-19,FL,39028,19662.0,687.0
2020-09-26,FL,32373,17449.0,735.0
2020-10-03,FL,42306,15909.0,606.0
2020-10-10,FL,47904,14330.0,558.0
2020-10-17,FL,40070,23560.0,731.0
2020-10-24,FL,33542,23770.0,500.0
2020-10-31,FL,31625,26296.0,344.0
2020-11-07,FL,31403,34530.0,339.0
2020-11-14,FL,24358,38019.0,389.0
2020-11-21,FL,26931,56731.0,441.0
2020-11-28,FL,23063,53470.0,512.0
2020-12-05,FL,29142,64341.0,642.0
2020-12-12,FL,26018,67335.0,701.0
2020-12-19,FL,28609,76192.0,688.0
2020-12-26,FL,26533,71423.0,662.0
2021-01-02,FL,24697,90245.0,755.0
2021-01-09,FL,30583,109864.0,914.0
2021-01-16,FL,39226,95489.0,1200.0
2021-01-23,FL,62818,79728.0,1160.0
2021-01-30,FL,69140,73675.0,1196.0
2021-02-06,FL,21710,57770.0,1239.0
2021-02-13,FL,21564,50578.0,1084.0
2021-02-20,FL,18630,41770.0,1130.0
2021-02-27,FL,19020,39975.0,921.0
2021-03-06,FL,19281,37215.0,886.0
2021-03-13,FL,20340,32212.0,605.0
2021-03-20,FL,17349,31253.0,488.0
2021-03-27,FL,15716,34700.0,429.0
2021-04-03,FL,15025,37970.0,510.0
2021-04-10,FL,24402,41681.0,362.0
2021-04-17,FL,18838,43354.0,390.0
2021-04-24,FL,28017,41846.0,408.0
2021-05-01,FL,19765,35024.0,427.0
2021-05-08,FL,17555,27638.0,461.0
2021-05-15,FL,14561,22947.0,356.0
2021-05-22,FL,9882,18744.0,407.0
2021-05-29,FL,8257,12552.0,311.0
2021-06-05,FL,6552,12049.0,211.0
2021-06-12,FL,9896,11454.0,280.0
2021-06-19,FL,7667,10095.0,290.0
2021-06-26,FL,6917,11048.0,217.0
2021-07-03,FL,6739,15684.0,213.0
2021-07-10,FL,7457,23747.0,172.0
2021-07-17,FL,9970,45449.0,231.0
2021-07-24,FL,10110,73166.0,282.0
2021-07-31,FL,7718,110724.0,409.0
2021-08-07,FL,5905,134751.0,616.0
2021-08-14,FL,5432,151764.0,1071.0
2021-08-21,FL,7977,150740.0,1486.0
2021-08-28,FL,9700,151760.0,1727.0
2021-09-04,FL,7218,129202.0,2345.0
2021-09-11,FL,7761,100249.0,2448.0
2021-09-18,FL,9316,75998.0,2468.0
2021-09-25,FL,7713,54109.0,2340.0
2021-10-02,FL,7054,37299.0,1719.0
2021-10-09,FL,6215,25184.0,1368.0
2021-10-16,FL,7481,18807.0,1192.0
2021-10-23,FL,8788,14564.0,944.0
2021-10-30,FL,6502,12151.0,867.0
2021-11-06,FL,6217,10498.0,664.0
2021-11-13,FL,6116,10302.0,364.0
2021-11-20,FL,5831,9891.0,383.0
2021-11-27,FL,4136,0.0,66.0
2021-12-04,FL,6212,19555.0,554.0
2021-12-11,FL,6033,12984.0,325.0
2021-12-18,FL,5160,28841.0,194.0
2021-12-25,FL,4244,124865.0,127.0
2022-01-01,FL,4299,302179.0,157.0
2022-01-08,FL,10103,423150.0,184.0
2022-01-15,FL,8593,408841.0,470.0
2022-01-22,FL,7346,282520.0,605.0
2022-01-29,FL,6680,197768.0,1192.0
2022-02-05,FL,5925,131699.0,1324.0
2022-02-12,FL,6044,122428.0,1293.0
2022-02-19,FL,5510,42373.0,1330.0
2022-02-26,FL,3328,25523.0,888.0
2022-03-05,FL,3830,13823.0,1207.0
2022-03-12,FL,3910,10211.0,863.0
2022-03-19,FL,4866,0.0,844.0
2022-03-26,FL,4701,16741.0,323.0
2022-04-02,FL,5167,0.0,263.0
2022-04-09,FL,6619,21348.0,265.0
2022-04-16,FL,5668,0.0,134.0
2022-04-23,FL,5240,36371.0,141.0
2022-04-30,FL,5221,0.0,118.0
2022-05-07,FL,4475,59430.0,137.0
2022-05-14,FL,5104,0.0,93.0
2022-05-21,FL,5218,99630.0,153.0
2022-05-28,FL,3698,23332.0,135.0
2022-06-04,FL,5796,115325.0,201.0
2022-06-11,FL,7035,41574.0,219.0
2022-06-18,FL,6500,107184.0,210.0
2022-06-25,FL,6318,41384.0,481.0
2022-07-02,FL,6155,106930.0,314.0
2022-07-09,FL,7267,24321.0,302.0
2022-07-16,FL,7858,121748.0,469.0
2022-07-23,FL,6901,32531.0,436.0
2022-07-30,FL,6140,116921.0,467.0
2022-08-06,FL,5998,22201.0,482.0
2022-08-13,FL,6074,124717.0,512.0
2022-08-20,FL,5809,0.0,458.0
2022-08-27,FL,5366,87082.0,556.0
2022-09-03,FL,5472,180.0,454.0
2022-09-10,FL,5215,65964.0,381.0
2022-09-17,FL,5833,1709.0,374.0
2022-09-24,FL,5472,40419.0,357.0
2022-10-01,FL,4269,0.0,277.0
2022-10-08,FL,14934,22592.0,245.0
2022-10-15,FL,11341,0.0,249.0
2022-10-22,FL,9337,20055.0,266.0
2022-10-29,FL,7803,0.0,0.0
2022-11-05,FL,7412,23157.0,365.0
2022-11-12,FL,6110,0.0,0.0
2020-04-18,GA,247003,17669.0,673.0
2020-04-25,GA,266565,5553.0,234.0
2020-05-02,GA,228352,5109.0,270.0
2020-05-09,GA,242772,4257.0,226.0
2020-05-16,GA,177731,4624.0,195.0
2020-05-23,GA,165499,5030.0,224.0
2020-05-30,GA,149163,4089.0,182.0
2020-06-06,GA,135254,5028.0,174.0
2020-06-13,GA,131997,5445.0,269.0
2020-06-20,GA,125725,7005.0,195.0
2020-06-27,GA,117485,11176.0,134.0
2020-07-04,GA,105160,18334.0,81.0
2020-07-11,GA,138452,21082.0,139.0
2020-07-18,GA,122313,25479.0,173.0
2020-07-25,GA,84984,25308.0,325.0
2020-08-01,GA,73931,24824.0,331.0
2020-08-08,GA,62335,23415.0,361.0
2020-08-15,GA,58099,21741.0,483.0
2020-08-22,GA,56768,17054.0,423.0
2020-08-29,GA,51283,15536.0,484.0
2020-09-05,GA,50320,13790.0,401.0
2020-09-12,GA,42085,11357.0,310.0
2020-09-19,GA,49421,12116.0,312.0
2020-09-26,GA,43526,8852.0,315.0
2020-10-03,GA,44874,8296.0,219.0
2020-10-10,GA,54166,8100.0,260.0
2020-10-17,GA,44892,9115.0,214.0
2020-10-24,GA,43695,10221.0,201.0
2020-10-31,GA,37253,11185.0,171.0
2020-11-07,GA,23827,44247.0,668.0
2020-11-14,GA,19626,17868.0,309.0
2020-11-21,GA,29088,23899.0,223.0
2020-11-28,GA,19183,20760.0,245.0
2020-12-05,GA,33003,31807.0,369.0
2020-12-12,GA,23702,38669.0,282.0
2020-12-19,GA,26673,44260.0,306.0
2020-12-26,GA,18960,46488.0,304.0
2021-01-02,GA,31458,56334.0,275.0
2021-01-09,GA,37039,63730.0,497.0
2021-01-16,GA,35912,60811.0,834.0
2021-01-23,GA,28016,52495.0,955.0
2021-01-30,GA,27215,43700.0,950.0
2021-02-06,GA,32386,31544.0,894.0
2021-02-13,GA,26532,25406.0,760.0
2021-02-20,GA,25447,20939.0,892.0
2021-02-27,GA,28387,20440.0,552.0
2021-03-06,GA,24974,17591.0,611.0
2021-03-13,GA,24700,11189.0,311.0
2021-03-20,GA,24789,11167.0,314.0
2021-03-27,GA,39282,10296.0,396.0
2021-04-03,GA,33623,9250.0,284.0
2021-04-10,GA,38382,9020.0,278.0
2021-04-17,GA,32381,10600.0,269.0
2021-04-24,GA,28764,9552.0,216.0
2021-05-01,GA,25429,8635.0,239.0
2021-05-08,GA,32833,7843.0,156.0
2021-05-15,GA,25441,5742.0,137.0
2021-05-22,GA,24553,4542.0,156.0
2021-05-29,GA,24622,3729.0,176.0
2021-06-05,GA,22240,2511.0,149.0
2021-06-12,GA,22524,2613.0,172.0
2021-06-19,GA,20698,2378.0,161.0
2021-06-26,GA,20749,2218.0,74.0
2021-07-03,GA,19761,2463.0,50.0
2021-07-10,GA,14475,3870.0,43.0
2021-07-17,GA,12605,6580.0,72.0
2021-07-24,GA,11985,11729.0,56.0
2021-07-31,GA,13406,21744.0,62.0
2021-08-07,GA,10783,31990.0,126.0
2021-08-14,GA,11157,41176.0,176.0
2021-08-21,GA,9750,54469.0,221.0
2021-08-28,GA,9849,62842.0,354.0
2021-09-04,GA,8035,63788.0,567.0
2021-09-11,GA,6851,50560.0,621.0
2021-09-18,GA,6564,40840.0,836.0
2021-09-25,GA,6106,32422.0,901.0
2021-10-02,GA,6319,24527.0,764.0
2021-10-09,GA,7490,20604.0,900.0
2021-10-16,GA,8578,13032.0,632.0
2021-10-23,GA,4471,9700.0,745.0
2021-10-30,GA,4302,8694.0,546.0
2021-11-06,GA,4341,6943.0,418.0
2021-11-13,GA,4203,6229.0,378.0
2021-11-20,GA,4249,7384.0,301.0
2021-11-27,GA,2535,4842.0,196.0
2021-12-04,GA,4118,9384.0,297.0
2021-12-11,GA,4132,9871.0,168.0
2021-12-18,GA,2433,12928.0,171.0
2021-12-25,GA,2705,41926.0,215.0
2022-01-01,GA,5727,106279.0,234.0
2022-01-08,GA,7586,89063.0,78.0
2022-01-15,GA,7320,184377.0,407.0
2022-01-22,GA,5068,116356.0,366.0
2022-01-29,GA,6619,116843.0,574.0
2022-02-05,GA,5968,56607.0,534.0
2022-02-12,GA,5909,31006.0,674.0
2022-02-19,GA,5309,17777.0,681.0
2022-02-26,GA,5196,10755.0,559.0
2022-03-05,GA,4627,7721.0,466.0
2022-03-12,GA,3987,6132.0,411.0
2022-03-19,GA,4105,6002.0,314.0
2022-03-26,GA,4026,3218.0,264.0
2022-04-02,GA,4034,14523.0,286.0
2022-04-09,GA,4153,2823.0,275.0
2022-04-16,GA,3629,3552.0,191.0
2022-04-23,GA,4561,2526.0,136.0
2022-04-30,GA,4439,5979.0,147.0
2022-05-07,GA,4296,6525.0,163.0
2022-05-14,GA,3971,9254.0,117.0
2022-05-21,GA,4577,10795.0,71.0
2022-05-28,GA,2815,14331.0,41.0
2022-06-04,GA,4875,15060.0,44.0
2022-06-11,GA,6251,17753.0,48.0
2022-06-18,GA,5630,19315.0,70.0
2022-06-25,GA,4024,18425.0,87.0
2022-07-02,GA,6959,20971.0,132.0
2022-07-09,GA,5100,19989.0,106.0
2022-07-16,GA,8266,26603.0,136.0
2022-07-23,GA,7182,27231.0,112.0
2022-07-30,GA,7297,29524.0,117.0
2022-08-06,GA,6775,27665.0,123.0
2022-08-13,GA,5829,24937.0,146.0
2022-08-20,GA,5933,25766.0,153.0
2022-08-27,GA,5080,23423.0,160.0
2022-09-03,GA,5403,17923.0,140.0
2022-09-10,GA,4066,12689.0,103.0
2022-09-17,GA,5903,9683.0,150.0
2022-09-24,GA,5104,7353.0,146.0
2022-10-01,GA,4420,5046.0,110.0
2022-10-08,GA,4401,4360.0,93.0
2022-10-15,GA,3952,3622.0,74.0
2022-10-22,GA,5253,3919.0,104.0
2022-10-29,GA,5302,3362.0,74.0
2022-11-05,GA,5720,4069.0,70.0
2022-11-12,GA,3994,4702.0,107.0
2020-04-18,NY,205184,241712.0,17634.0
2020-04-25,NY,219413,40431.0,4299.0
2020-05-02,NY,195110,30834.0,2157.0
2020-05-09,NY,199419,20145.0,2409.0
2020-05-16,NY,229524,15110.0,1423.0
2020-05-23,NY,189698,11694.0,982.0
2020-05-30,NY,82326,9734.0,670.0
2020-06-06,NY,94167,7656.0,553.0
2020-06-13,NY,95559,5314.0,510.0
2020-06-20,NY,89299,4642.0,285.0
2020-06-27,NY,90083,4651.0,285.0
2020-07-04,NY,94108,4675.0,788.0
2020-07-11,NY,91898,4431.0,184.0
2020-07-18,NY,88402,5276.0,133.0
2020-07-25,NY,85294,4895.0,130.0
2020-08-01,NY,74187,4567.0,85.0
2020-08-08,NY,52794,4578.0,74.0
2020-08-15,NY,62698,4556.0,65.0
2020-08-22,NY,62683,4264.0,39.0
2020-08-29,NY,63366,4237.0,67.0
2020-09-05,NY,64734,7610.0,49.0
2020-09-12,NY,61897,5016.0,37.0
2020-09-19,NY,69790,5627.0,57.0
2020-09-26,NY,64678,5918.0,205.0
2020-10-03,NY,64156,8734.0,87.0
2020-10-10,NY,66385,10090.0,89.0
2020-10-17,NY,54890,9810.0,80.0
2020-10-24,NY,51599,11525.0,87.0
2020-10-31,NY,45716,14029.0,96.0
2020-11-07,NY,43876,18457.0,156.0
2020-11-14,NY,43391,31703.0,129.0
2020-11-21,NY,46821,35759.0,282.0
2020-11-28,NY,45863,45483.0,232.0
2020-12-05,NY,62677,61520.0,405.0
2020-12-12,NY,58153,69545.0,572.0
2020-12-19,NY,41106,73550.0,807.0
2020-12-26,NY,51424,76236.0,966.0
2021-01-02,NY,56917,87651.0,985.0
2021-01-09,NY,73121,107619.0,1195.0
2021-01-16,NY,62185,109583.0,1333.0
2021-01-23,NY,66250,94445.0,1329.0
2021-01-30,NY,77390,85386.0,1318.0
2021-02-06,NY,59983,61603.0,1210.0
2021-02-13,NY,56931,61239.0,1088.0
2021-02-20,NY,47814,53895.0,946.0
2021-02-27,NY,60130,50605.0,788.0
2021-03-06,NY,48224,50953.0,745.0
2021-03-13,NY,47289,47683.0,603.0
2021-03-20,NY,35991,44358.0,553.0
2021-03-27,NY,39776,62788.0,527.0
2021-04-03,NY,42467,56279.0,622.0
2021-04-10,NY,58495,51863.0,485.0
2021-04-17,NY,41655,43307.0,502.0
2021-04-24,NY,41056,33758.0,411.0
2021-05-01,NY,31523,24993.0,359.0
2021-05-08,NY,23417,18031.0,343.0
2021-05-15,NY,20808,13570.0,259.0
2021-05-22,NY,19505,10622.0,196.0
2021-05-29,NY,19615,6810.0,159.0
2021-06-05,NY,18515,4320.0,157.0
2021-06-12,NY,19191,3575.0,109.0
2021-06-19,NY,18496,2606.0,65.0
2021-06-26,NY,20353,2186.0,45.0
2021-07-03,NY,25083,2424.0,43.0
2021-07-10,NY,33273,3526.0,41.0
2021-07-17,NY,22546,5843.0,32.0
2021-07-24,NY,18841,9626.0,38.0
2021-07-31,NY,17469,15229.0,47.0
2021-08-07,NY,14548,22690.0,88.0
2021-08-14,NY,14722,28388.0,128.0
2021-08-21,NY,14932,31615.0,155.0
2021-08-28,NY,18708,29810.0,147.0
2021-09-04,NY,15688,34749.0,219.0
2021-09-11,NY,16776,33973.0,258.0
2021-09-18,NY,14501,34826.0,229.0
2021-09-25,NY,15392,35807.0,266.0
2021-10-02,NY,14165,33800.0,303.0
2021-10-09,NY,15394,34502.0,239.0
2021-10-16,NY,13263,32364.0,262.0
2021-10-23,NY,13586,27946.0,264.0
2021-10-30,NY,13592,25768.0,214.0
2021-11-06,NY,14476,28737.0,279.0
2021-11-13,NY,14172,36766.0,230.0
2021-11-20,NY,14964,43628.0,236.0
2021-11-27,NY,14867,44748.0,243.0
2021-12-04,NY,23390,59117.0,324.0
2021-12-11,NY,15233,68702.0,397.0
2021-12-18,NY,15371,96127.0,418.0
2021-12-25,NY,17658,167569.0,397.0
2022-01-01,NY,26470,415674.0,648.0
2022-01-08,NY,37109,539437.0,856.0
2022-01-15,NY,23255,403723.0,1305.0
2022-01-22,NY,17533,214490.0,1445.0
2022-01-29,NY,18208,115555.0,1527.0
2022-02-05,NY,16680,54379.0,908.0
2022-02-12,NY,16269,36545.0,805.0
2022-02-19,NY,13232,24353.0,508.0
2022-02-26,NY,13245,15738.0,361.0
2022-03-05,NY,29402,12793.0,223.0
2022-03-12,NY,13304,11464.0,134.0
2022-03-19,NY,12749,14947.0,156.0
2022-03-26,NY,13510,16136.0,104.0
2022-04-02,NY,12644,25598.0,70.0
2022-04-09,NY,14151,30379.0,61.0
2022-04-16,NY,11195,40879.0,66.0
2022-04-23,NY,15955,44484.0,108.0
2022-04-30,NY,23284,49526.0,122.0
2022-05-07,NY,13385,60934.0,116.0
2022-05-14,NY,13364,51081.0,157.0
2022-05-21,NY,11914,82662.0,179.0
2022-05-28,NY,12968,51635.0,159.0
2022-06-04,NY,12337,52439.0,169.0
2022-06-11,NY,12519,39611.0,148.0
2022-06-18,NY,12432,38087.0,164.0
2022-06-25,NY,12135,35984.0,135.0
2022-07-02,NY,17300,41653.0,127.0
2022-07-09,NY,27351,43177.0,101.0
2022-07-16,NY,20163,52760.0,135.0
2022-07-23,NY,14394,52256.0,162.0
2022-07-30,NY,13411,44379.0,173.0
2022-08-06,NY,13507,49561.0,221.0
2022-08-13,NY,13381,40127.0,203.0
2022-08-20,NY,13717,34424.0,157.0
2022-08-27,NY,18347,32288.0,162.0
2022-09-03,NY,14685,29483.0,168.0
2022-09-10,NY,11780,24066.0,131.0
2022-09-17,NY,13489,32781.0,191.0
2022-09-24,NY,12085,34788.0,144.0
2022-10-01,NY,11750,31930.0,182.0
2022-10-08,NY,15137,29443.0,158.0
2022-10-15,NY,12048,27542.0,191.0
2022-10-22,NY,13774,31489.0,408.0
2022-10-29,NY,13584,29217.0,597.0
2022-11-05,NY,13976,30701.0,105.0
2022-11-12,NY,14297,28952.0,138.0
